,0,,,,
194,년차,,,,
195,공무원,,,,
197,근무,,,,
199,여기는,,,,
0,와서,,,,
3,조금,,,,
4,오거,,,,
5,난다거나,,,,
6,하면,,,,
7,새벽,,,,
8,퇴근,,,,
9,새고,,,,
10,담날,,,,
11,추첨,,,,
10,기간,,,,
13,동안,,,,
14,삼척,,,,
15,방문,,,,
16,시간,,,,
17,주작,,,,
18,하던,,,,
19,위인,,,,
0,저지를,,,,
1,위해,,,,
0,전국,,,,
3,모여드는,,,,
4,소방차,,,,
5,행렬,,,,
6,보고,,,,
8,받았습니다,,,,
9,대처,,,,
30,방식,,,,
31,이후,,,,
30,원금,,,,
33,노래,,,,0 부정
34,하며,,,,1 긍정
35,각종,,,,
36,기금,,,,
37,빼내어,,,,
38,수조,,,,
39,남김,,,,
40,정작,,,,
41,경기도,,,,
43,개군,,,,
44,억원,,,,
45,지원,,,,
46,정부,,,,
48,원인,,,,
49,황교익,,,,
50,촬영,,,,
51,차관,,,,
50,지위,,,,
53,경기,,,,
54,관광,,,,
55,공사,,,,
56,사장,,,,
57,임명,,,,
58,날라,,,,
59,갔다고,,,,
60,생각,,,,
61,한다,,,,
60,소방,,,,
64,책임자,,,,
65,자기,,,,
66,지역,,,,
67,팽개,,,,
68,마산,,,,
69,내려가,,,,
70,대선,,,,
71,현장,,,,
70,가서,,,,
73,입털,,,,
74,사진,,,,
75,갔던거,,,,
76,생각나면,,,,
77,난다,,,,
78,민주당,,,,
79,정치인,,,,
80,방지,,,,
81,깎았는가,,,,
80,났는데,,,,
83,했는가,,,,
84,우리나라,,,,
85,에탄올,,,,
86,화로,,,,
88,기준,,,,
89,없습니다,,,,
90,소비자원,,,,
91,시중,,,,
90,판매,,,,
93,호주,,,,
94,따라,,,,
95,조사,,,,
96,결과,,,,
97,모두,,,,
99,불꽃,,,,
300,보이지,,,,
300,특성,,,,
303,있습니다,,,,
304,사용자,,,,
305,이천,,,,
306,대비,,,,
307,능력,,,,
308,인성,,,,
309,아예,,,,
311,판명,,,,
310,되었다,,,,
313,소리,,,,
314,하지,,,,
315,나면,,,,
316,했지,,,,
317,가지,,,,
318,가겠단,,,,
319,했다,,,,
300,그래,,,,
301,우리,,,,
300,나고,,,,
304,날때,,,,
305,장난,,,,
306,하자는,,,,
307,아니고,,,,
309,하니까,,,,
331,업무,,,,
333,해놓고,,,,
334,볶에,,,,
335,처묵처묵,,,,
336,됐으면,,,,
337,그랬다고,,,,
338,이러고,,,,
339,있었던,,,,
341,잦은,,,,
340,태풍,,,,
343,겪는,,,,
344,부산,,,,
345,장마,,,,
346,끝나고나,,,,
347,내리고,,,,
348,나서부터,,,,
349,바퀴,,,,
350,출몰,,,,
351,심해져요,,,,
350,하수,,,,
353,튀면,,,,
354,바로,,,,
355,씻어,,,,
356,야해요,,,,
357,바퀴벌레,,,,
358,천국,,,,
359,겨울,,,,
360,사는데요,,,,
360,저희,,,,
363,건물,,,,
365,되는,,,,
366,바람,,,,
367,천장,,,,
369,포장재,,,,
370,재료,,,,
371,잠겼네요,,,,
370,당분간,,,,
373,발송,,,,
374,어찌,,,,
375,될지는,,,,
376,내일,,,,
377,아침,,,,
378,다시,,,,
379,한번,,,,
380,확인,,,,
381,자세한,,,,
380,어머니,,,,
383,사시는데,,,,
384,출근길,,,,
385,나서,,,,
386,돌아보니,,,,
387,나무,,,,
389,대요,,,,
390,산사태,,,,
390,가져주세요,,,,
393,특보,,,,
395,강남,,,,
396,삼성,,,,
397,샌다고,,,,
398,보도,,,,
399,하더니,,,,
400,대기업,,,,
401,오피스,,,,
400,이름,,,,
404,전화,,,,
405,온듯,,,,
406,아니,,,,
407,뉴스특보,,,,
408,제보,,,,
409,받은,,,,
410,영상,,,,
411,보여주는게,,,,
410,맞아,,,,
413,이건,,,,
414,재미,,,,
415,아님,,,,
416,지도,,,,
417,표시,,,,
418,해주고,,,,
419,예보,,,,
400,알려주고,,,,
401,황시,,,,
400,어케,,,,
403,해야하는지,,,,
404,대피,,,,
405,요령,,,,
406,챙겨,,,,
407,야하는거나,,,,
408,그런거,,,,
409,반복,,,,
430,해서,,,,
431,알려줘,,,,
430,야하는거,,,,
433,아닌가,,,,
434,봤으면,,,,
435,돌렸어야지,,,,
436,소주,,,,
437,한잔,,,,
438,정신,,,,
439,놨었,,,,
440,어제,,,,
441,집중호우,,,,
440,여파,,,,
443,강남역,,,,
444,발생,,,,
445,일대,,,,
446,선생,,,,
448,했습니다,,,,
449,마이,,,,
450,케이팝,,,,
451,캘린더,,,,
450,퍼플,,,,
453,키스,,,,
454,개인,,,,
456,멤버,,,,
457,모든,,,,
461,해변,,,,
460,가를,,,,
465,여성,,,,
466,시선,,,,
468,됐던,,,,
469,지하철역,,,,
470,거의,,,,
470,됐다니,,,,
473,밤새,,,,
474,얼마나,,,,
476,애써주신,,,,
478,일까,,,,
479,이런,,,,
481,패러디,,,,
480,이미지,,,,
483,모아서,,,,
484,바이럴,,,,
485,보는,,,,
487,동료,,,,
488,시민,,,,
489,반지하,,,,
491,터전,,,,
493,차량,,,,
494,되는데,,,,
495,어떤,,,,
496,소로,,,,
497,거리,,,,
498,찾고,,,,
500,보다,,,,
501,보니,,,,
503,지방,,,,
505,자막,,,,
506,덜렁,,,,
507,나오고,,,,
508,이었어서,,,,
509,남부,,,,
510,있는지도,,,,
511,몰랐던,,,,
510,적도,,,,
513,있는데,,,,
514,동네,,,,
515,비오니까,,,,
516,방송,,,,
517,끊고,,,,
518,트위터,,,,
519,알맞는,,,,
500,맨홀,,,,
501,뚜껑,,,,
503,가까이,,,,
504,있지,,,,
505,잡거나,,,,
506,짚으면서,,,,
507,걸어야지,,,,
508,그러면,,,,
509,날아간,,,,
531,물살,,,,
530,쓸려가,,,,
535,실시간,,,,
537,등장,,,,
538,아저씨,,,,
539,배수관,,,,
540,쌓여있는,,,,
540,맨손,,,,
543,건져,,,,
544,종아리,,,,
545,차올랐던,,,,
546,금방,,,,
547,내려감,,,,
549,고현,,,,
550,찾아가,,,,
551,구겨,,,,
550,앉아가며,,,,
553,구경,,,,
554,하다가,,,,
555,아파트,,,,
556,언덕,,,,
557,있는데도,,,,
558,잠겼,,,,
559,누구,,,,
560,물어보지,,,,
561,자신,,,,
560,봤지만,,,,
563,일도,,,,
564,아니니까,,,,
565,그것,,,,
566,이제야,,,,
568,돌릴,,,,
569,풀어,,,,
570,지하철,,,,
571,버스,,,,
570,차도,,,,
573,막힘,,,,
574,도로,,,,
575,막판,,,,
576,수영,,,,
577,푼다,,,,
578,이제,,,,
579,정전,,,,
580,곁들인,,,,
580,아기,,,,
583,키우는,,,,
584,친구,,,,
586,되면,,,,
587,산소호흡,,,,
588,기를,,,,
590,있다,,,,
591,외래,,,,
590,진료,,,,
593,호출,,,,
594,장애인,,,,
595,택시,,,,
596,배차,,,,
597,걸렸고,,,,
598,목금,,,,
599,재활,,,,
600,알티,,,,
601,타네,,,,
600,고급,,,,
603,입었는데,,,,
605,얘기,,,,
606,나오는,,,,
608,해봐도,,,,
609,알잖아요,,,,
610,지하,,,,
611,사는,,,,
610,시장,,,,
613,장사,,,,
615,입니다,,,,
616,덧붙이자면,,,,
617,경험,,,,
618,운전,,,,
619,물밑,,,,
600,안보,,,,
601,여요,,,,
600,그냥,,,,
603,피하,,,,
604,제일,,,,
606,거기,,,,
607,자작하게,,,,
608,물이,,,,
609,고인,,,,
630,건지,,,,
634,여러분,,,,
635,그거,,,,
636,아시나요,,,,
637,실트,,,,
638,오늘,,,,
639,내린,,,,
640,비는,,,,
641,모레,,,,
640,내릴,,,,
643,예고편,,,,
644,랍니,,,,
645,참고,,,,
646,러브,,,,
647,다이브,,,,
648,하러가겠음,,,,
649,시계,,,,
650,방향,,,,
651,왔는데,,,,
650,대중교통,,,,
655,인력,,,,
656,간밤,,,,
658,게다가,,,,
659,청소,,,,
660,여자,,,,
661,하시잖아,,,,
663,구간,,,,
664,출퇴근,,,,
665,하지만,,,,
666,마음,,,,
668,찾은,,,,
669,오세훈,,,,
670,서울시장,,,,
671,출처,,,,
670,네이버,,,,
673,카메라,,,,
674,의식,,,,
675,호선,,,,
676,운영,,,,
677,정상화,,,,
678,반면,,,,
679,민간,,,,
680,일부,,,,
681,상당수,,,,
680,민영화,,,,
683,결론,,,,
684,계십니다,,,,
685,최대,,,,
686,수리,,,,
687,호텔,,,,
688,잡아,,,,
689,지낼,,,,
690,있고,,,,
691,쓰게,,,,
690,소지품,,,,
693,새로,,,,
694,여유,,,,
695,당장,,,,
696,곳도,,,,
697,마련,,,,
698,주지,,,,
699,않으면,,,,
700,생필,,,,
701,품도,,,,
700,한두,,,,
703,부담,,,,
704,뉴욕,,,,
706,경보,,,,
707,예상,,,,
708,된다고,,,,
709,병원,,,,
710,어려운,,,,
711,직원,,,,
710,빌려,,,,
713,숙식,,,,
714,제공,,,,
715,했고,,,,
716,날씨,,,,
717,와줘서,,,,
719,매점,,,,
700,이용권,,,,
701,자체,,,,
700,싸서,,,,
703,벌써,,,,
704,아래쪽,,,,
705,되더라,,,,
706,대본,,,,
707,하셔야지,,,,
708,기어,,,,
709,들어가세요,,,,
731,자긴,,,,
730,지대,,,,
733,비싼,,,,
734,산다,,,,
736,하는데,,,,
737,서울시,,,,
738,최초,,,,
739,터널,,,,
740,빗물,,,,
741,시설,,,,
740,신월,,,,
743,국내,,,,
744,수준,,,,
745,배수,,,,
746,저장,,,,
747,통해,,,,
749,고질,,,,
750,신월동,,,,
751,현석,,,,
750,오랜,,,,
753,만이,,,,
754,수고,,,,
755,하셨,,,,
756,스미스,,,,
757,오락가락,,,,
760,발언,,,,
760,일보,,,,
763,게임,,,,
764,가디언,,,,
765,테일즈,,,,
766,개발,,,,
767,스튜디오,,,,
768,사무실,,,,
769,입어,,,,
770,예정,,,,
771,되었던,,,,
770,업데이트,,,,
773,무기한,,,,
774,연기,,,,
775,되었다는,,,,
776,소식,,,,
778,많으시고,,,,
781,넘길,,,,
783,아니라,,,,
784,모자랄,,,,
785,진행중,,,,
786,남아,,,,
787,해야만,,,,
788,환경,,,,
789,비정상,,,,
790,대해,,,,
791,해봐야,,,,
790,같음,,,,
793,봤으면서,,,,
794,그대로,,,,
795,했다고,,,,
796,구건,,,,
797,입니다만,,,,
798,택배,,,,
799,수령,,,,
800,주시,,,,
803,미루겠습니다,,,,
804,다만,,,,
805,짱짱해,,,,
806,판별,,,,
808,받으시길,,,,
810,시기,,,,
811,주셔,,,,
810,야합니다,,,,
813,퇴근길,,,,
814,보면서도,,,,
816,주변,,,,
817,한다는,,,,
818,해야지,,,,
819,무슨,,,,
800,얼뜨기,,,,
801,있냐,,,,
800,청와대,,,,
803,놔두고,,,,
804,유족,,,,
805,국민,,,,
806,지킨다고,,,,
807,홍포,,,,
808,포스터,,,,
809,만든거,,,,
831,패인,,,,
830,장애,,,,
833,가족,,,,
834,참변,,,,
835,미리,,,,
836,됐느냐,,,,
837,질문,,,,
839,박근혜,,,,
840,구명조끼,,,,
841,떠올랐음,,,,
840,사계절,,,,
843,아름다운,,,,
844,나라,,,,
845,아니다,,,,
846,동시,,,,
847,뜨는,,,,
849,아크,,,,
850,비스타,,,,
851,엘리베이터,,,,
853,중부,,,,
854,인하여,,,,
855,이수역,,,,
856,도림천,,,,
858,속출,,,,
861,귀가,,,,
860,하세요,,,,
863,아주,,,,
866,와중,,,,
868,되셨다고,,,,
869,후속,,,,
871,로되,,,,
873,세번,,,,
876,하셨습니다,,,,
877,의원님,,,,
880,더불어,,,,
881,남동구,,,,
880,의회,,,,
883,이철상,,,,
884,모르겠다하시네요,,,,
885,상가,,,,
886,직접,,,,
887,오셔서,,,,
888,의견,,,,
889,물어보시고,,,,
890,서서,,,,
891,둘러보시고,,,,
890,펌프,,,,
893,금전,,,,
894,본거,,,,
895,어젯밤,,,,
896,관악구,,,,
897,세가족,,,,
899,훈시,,,,
900,갔는데,,,,
901,주민,,,,
903,하자,,,,
906,해주는,,,,
907,대신,,,,
908,설명,,,,
909,주세요,,,,
910,하고,,,,
911,돌리고,,,,
910,가는,,,,
913,모습,,,,
914,서초,,,,
916,불공정,,,,
917,이야기,,,,
918,나오냐며,,,,
919,같지도,,,,
900,않던,,,,
901,생각나서,,,,
900,더욱,,,,
903,화가,,,,
904,항상,,,,
905,진행,,,,
906,불어,,,,
907,감당,,,,
908,긴급한,,,,
909,방류,,,,
930,시행,,,,
931,옥상,,,,
930,처방,,,,
933,예고,,,,
934,이어지는,,,,
936,시정,,,,
937,작태,,,,
938,분개,,,,
940,이자,,,,
941,사회,,,,
940,약자,,,,
943,별안간,,,,
944,수재,,,,
945,돌아가신,,,,
946,됐다,,,,
947,멘트,,,,
948,리더,,,,
949,도대체,,,,
950,회로,,,,
951,장착,,,,
950,걸까,,,,
953,나름,,,,
955,표현,,,,
956,하려는,,,,
958,허한,,,,
959,말로,,,,
960,꾸려던,,,,
961,무엇,,,,
960,웅덩이,,,,
964,불가피한,,,,
965,경우,,,,
966,시속,,,,
967,서행,,,,
968,범퍼,,,,
969,높이,,,,
970,놓고,,,,
971,지나가야,,,,
970,도중,,,,
973,바꾸거나,,,,
974,됐나,,,,
975,입었다고,,,,
976,발견,,,,
977,하기,,,,
979,데쟈뷰,,,,
980,있었다,,,,
983,속보,,,,
984,도봉구,,,,
985,종로구,,,,
986,주의보,,,,
987,발령,,,,
988,마당,,,,
989,도서관,,,,
990,국립,,,,
991,중앙,,,,
990,있으니까,,,,
993,종이,,,,
994,아깝다,,,,
995,였는데,,,,
996,패턴,,,,
998,형태,,,,
999,최근,,,,
1000,수년,,,,
1001,사이,,,,
1000,과거,,,,
1003,달라졌다,,,,
1004,온난화,,,,
1005,수증,,,,
1006,기량,,,,
1007,늘어나고,,,,
1008,해수면,,,,
1009,온도,,,,
1010,상승,,,,
1011,사실,,,,
1010,이라면서,,,,
1013,기후변화,,,,
1015,자택,,,,
1016,돼서,,,,
1017,움직,,,,
1018,받으신,,,,
1019,대통령실,,,,
1000,언론사,,,,
1001,통화,,,,
1000,했데,,,,
1004,그러니깐,,,,
1006,하려고,,,,
1007,쓰는,,,,
1009,그런줄,,,,
1030,알어,,,,
1031,군위,,,,
1030,서초동,,,,
1033,였다,,,,
1034,포털,,,,
1035,검색,,,,
1036,별로,,,,
1037,자세히,,,,
1038,보기,,,,
1039,누르면,,,,
1040,시각,,,,
1041,있어서,,,,
1040,편리해요,,,,
1043,얼른,,,,
1044,사태,,,,
1045,끝나길,,,,
1046,깅들,,,,
1047,궁금해서,,,,
1048,강원,,,,
1049,들어가,,,,
1050,봤다,,,,
1051,영월,,,,
1050,평창,,,,
1054,말려,,,,
1056,있었고,,,,
1057,주택,,,,
1058,농경지,,,,
1059,골프장,,,,
1060,이유,,,,
1063,휴가,,,,
1064,지지도,,,,
1065,제네시스,,,,
1066,신형,,,,
1067,됏다,,,,
1068,믿어지지,,,,
1070,천만원,,,,
1071,증발,,,,
1070,차주,,,,
1073,엇어,,,,
1074,최대한,,,,
1075,순간,,,,
1076,타야,,,,
1077,비록,,,,
1078,보닛,,,,
1079,재작년,,,,
1080,왔었는데,,,,
1081,언제,,,,
1080,왔었냐,,,,
1083,는듯,,,,
1085,화제,,,,
1086,였었다,,,,
1087,오는,,,,
1088,누군가,,,,
1090,해야하고,,,,
1091,해야한,,,,
1090,긴급,,,,
1093,당부,,,,
1094,첫째,,,,
1095,빠른,,,,
1096,시일,,,,
1098,빈발,,,,
1099,대한,,,,
1100,현황,,,,
1101,파악,,,,
1100,둘째,,,,
1103,서는,,,,
1104,절차,,,,
1106,최소,,,,
1107,화해서,,,,
1108,나설,,,,
1109,셋째,,,,
1110,자원,,,,
1111,훈녀,,,,
1110,생정,,,,
1113,탈출,,,,
1114,목숨,,,,
1115,보존,,,,
1116,유리창,,,,
1117,깨는,,,,
1119,스킬,,,,
1100,있어,,,,
1101,긴급히,,,,
1100,중랑천,,,,
1103,인근,,,,
1104,살피,,,,
1105,살곶,,,,
1106,운동장,,,,
1107,전면,,,,
1109,합니다,,,,
1130,구민,,,,
1131,낮은,,,,
1130,통행,,,,
1134,알림,,,,
1135,된거,,,,
1137,찍어,,,,
1138,이동,,,,
1141,세상,,,,
1140,멀쩡합니다,,,,
1143,아무,,,,
1144,출입,,,,
1145,중임,,,,
1146,기사,,,,
1147,똑바로,,,,
1148,써라,,,,
1149,나갈,,,,
1151,귀찮아서,,,,
1150,거임,,,,
1153,애초,,,,
1155,호우,,,,
1157,절대,,,,
1158,화요일,,,,
1159,대가,,,,
1160,넘는,,,,
1161,됐고,,,,
1163,오토,,,,
1164,낮추는,,,,
1165,수동,,,,
1166,모드,,,,
1167,참조,,,,
1168,타래,,,,
1169,인용,,,,
1170,둡니다,,,,
1171,어르신,,,,
1170,트윗,,,,
1173,활용,,,,
1175,중단,,,,
1176,문자,,,,
1177,보내주십시요,,,,
1178,돌아오는길,,,,
1179,무작정,,,,
1180,여기저기,,,,
1181,물어봐가면서,,,,
1180,타시는데,,,,
1184,맞는거,,,,
1185,났어,,,,
1186,잠겼어,,,,
1187,재택근무,,,,
1188,나머지,,,,
1189,노동자,,,,
1190,치우고,,,,
1191,심지어,,,,
1193,운행,,,,
1194,가능하게,,,,
1195,했어,,,,
1196,이지영,,,,
1197,중학생,,,,
1198,요점,,,,
1199,노트,,,,
1200,젖어서,,,,
1202,갔다는,,,,
1203,생각남,,,,
1204,저상버스,,,,
1205,마세요,,,,
1206,그래도,,,,
1207,보장,,,,
1208,돼있는,,,,
1209,동권,,,,
1211,설치,,,,
1214,했단다,,,,
1215,그럼,,,,
1216,기록,,,,
1217,있겠네,,,,
1218,그치,,,,
1219,전부,,,,
1220,남겨야,,,,
1221,맞지,,,,
1222,보자,,,,
1223,내용,,,,
1224,유독,,,,
1225,동물,,,,
1226,보이네요,,,,
1227,하셨을,,,,
1228,다산,,,,
1229,콜센터,,,,
1230,해주세요,,,,
