,tokens,tone
53,지금 출근 하는데 도로 안보 침수,NaN
54,서울시 최초 터널 빗물 시설 신월 빗물 시설 국내 최고 수준 배수 능력 자랑 하며 폭우 최대 빗물 저장 신월 빗물 시설 운영 통해 장마철 고질 침수 지역 신월동,1.0
55,현석 진짜 오랜 만이 수고 하셨 스미스 날씨 오락가락 이제 장마 감기 조심,-1.0
56,대통령 퇴근 하면서 보니 다른 아파트 침수 시작 발언 논란 출처 부산 일보 네이버,NaN
57,게임 가디언 테일즈 개발 스튜디오 사무실 이번 폭우 침수 피해 입어 내일 예정 되었던 업데이트 무기한 연기 되었다는 소식,-1.0
58,고생 많으시고 대단하신데 이건 감사하고 넘길 문제 아니라 당장 대피 해도 모자랄 침수 진행중 건물 계속 남아 청소 해야만 하는 환경 비정상 대해 생각 해봐야 같음 재난 상황 대피 하는 청소,-1.0
59,침수 시작 되는 봤으면서 그대로 퇴근 했다고,NaN
60,내일 모레 구건 발송 예정 입니다만 침수 지역 택배 수령 어렵거나 불안하신 말씀 주시 발송 미루겠습니다 다만 사는 지역 짱짱해 날씨 판별 어려워 받으시길 원하는 시기 말씀 주셔 야합니다,-1.0
61,퇴근길 침수 보면서도 퇴근,NaN
62,살다 살다 주변 침수 출근 한다는 대통령 타고 출근 해야지 이런 재난 상황 아니 무슨 이런 얼뜨기 있냐 멀쩡한 청와대 놔두고,-1.0
63,반지하 침수 사망 유족 방문 사진 국민 지킨다고 홍포 포스터 만든거 소름 패인,-1.0
64,윤석열 대통령 장애 가족 참변 반지하 침수 현장 찾아 미리 대피 됐느냐 윤석열 질문 충격 박근혜 구명조끼 발언 떠올랐음,-1.0
65,이제 우리나라 사계절 아름다운 나라 아니다 동시 경보 뜨는 나라 시바,1.0
66,아크 비스타 엘리베이터 침수 영상 가짜 뉴스,-1.0
67,중부 폭우 집중호우 인하여 이수역 침수 강남역 침수 도림천 범람 지하철 침수 도로 침수 각종 피해 속출 있습니다 모두 조심하시고 무사 귀가 하세요,-1.0
68,아주 친절하셨고 하는데 덕분 힘든 와중 위안 되셨다고 후속 조치 로되 좋겠다고 침수 올해 세번 힘들다고 호소 하셨습니다 의원님 개인 없으시고 시간 늦어서 내일,-1.0
69,더불어 민주당 남동구 의회 이철상 의원님 사람 어머니 모르겠다하시네요 침수 상가 지역 직접 오셔서 상가 의견 물어보시고 시간 이상 서서 피해 상황 둘러보시고 펌프,-1.0
70,금전 본거 어젯밤 폭우 관악구 세가족 침수 숨진 훈시 갔는데 동네 주민 항의 하자 죄송하다거나 위로 해주는 대신 있던 사람 보고 설명 주세요 하고 바로 돌리고 가는 모습,NaN
71,어제 강남 서초 침수 당했는데 재난 불공정 이야기 나오냐며 같지도 않던 소리 하는 사람 생각나서 더욱 화가 난다,-1.0
72,항상 침수 진행 되는 상황 불어 감당 하지 긴급한 방류 시행 하는 옥상 처방 예고 재난 상황 이어지는 안타까 시정 하지 하는 공무원 작태 분개 없다는,-1.0
73,가족 이자 사회 약자 별안간 수재 돌아가신 찾아가 우리 아파트 침수 됐다 멘트 하는 리더 도대체 어떤 회로 장착 걸까 나름 공감 표현 하려는 노력 허한 말로 꾸려던 무엇 일까,NaN
74,운전 침수 도로 행동 요령 웅덩이 통과 불가피한 경우 기어 시속 서행 통과 범퍼 높이 침수 미리 기어 놓고 한번 지나가야 도중 기어 바꾸거나,NaN
75,장애 가족 참변 반지하 침수 현장 찾아 미리 대피 됐나 윤석열 구명조끼 입었다고 하는데 발견 하기 힘드냐 박근혜 무슨 데쟈뷰 피해자 유가족 이었으면 있었다,-1.0
76,속보 서울 도봉구 종로구 산사태 주의보 발령,NaN
77,어제 마당 도서관 국립 중앙 도서관 있으니까 종이 아깝다 정도 였는데 국립 중앙 도서관 침수,-1.0
78,장마 패턴 폭우 폭염 폭우 반복 되는 형태 최근 수년 사이 과거 달라졌다 온난화 대기 수증 기량 늘어나고 해수면 온도 과거 상승 주지 사실 이라면서 기후변화,NaN
79,존나 웃긴다 자택 주변 침수 돼서 움직 자택 실시간 보고 받으신 대통령실 언론사 통화 했데 웃김 웃김 그러니깐 청와대 같은 호의호식 하려고 쓰는 아니잖냐,NaN
80,침수 피해 침수 피해 강원도 강원도 침수 피해 서울 그런줄 알어 군위,-1.0
81,윤석열 사는 서초동 아파트 언덕 있는데도 침수 정도 였다 퇴근 하면서 보니 벌써 다른 아래쪽 아파트 침수 시작 되더라 아파트 침수 되는 보고 퇴근 했다고,NaN
82,실시간 침수 상황 확인 하는 재난 포털 검색 날씨 별로 자세히 보기 누르면 실시간 상황 제보 있고 시각 현장 있어서 편리해요 얼른 사태 끝나길 깅들,0.0
83,강원도 피해 궁금해서 강원 일보 들어가 봤다 영월 평창 급류 말려 익사 하는 사고 있었고 주택 농경지 침수 되고 골프장 유실 되는 피해,-1.0
84,딱하네 나오는 이유 휴가 이유 윤석열 장마 강남 침수 윤석열 지지도,NaN
85,제네시스 신형 침수 됏다 믿어지지 않음 천만원 증발 차주 엇어 친구 최대한 순간 타야 비록 보닛,NaN
86,작년 재작년 부산 지하철 침수 정도 왔었는데 언제 왔었냐 는듯 깨끗하게 청소 지하철역 화제 였었다 오는 누군가 시설 정비 해야하고 누군가 청소 해야한,1.0
87,수해 현장 가지 긴급 조치 당부 했습니다 첫째 빠른 시일 위험 지역 침수 빈발 지역 반지하 같은 대한 현황 파악 둘째 피해 대해 서는 절차 없애거나 최소 화해서 지원 나설 셋째 자원,-1.0
88,훈녀 생정 침수 차량 탈출 하기 목숨 보존 유리창 깨는 죽빵 스킬,NaN
89,폭우 계속 되고 있어 긴급히 중랑천 인근 살피 있습니다 살곶 운동장 일대 많은 침수 예상 구간 전면 통제 합니다 구민 여러분 지대 낮은 통행 가해 주시 재난 경보 알림,-1.0
90,침수 된거,NaN
91,빡쳐서 직접 찍어 아크 비스타 침수 이동 불가 개뿔 세상 멀쩡합니다 차량 아무 문제 출입 중임 언론 기사 똑바로 써라 나갈 없어서 있는 아님 윤석열 그냥 귀찮아서 출근 하는 거임,-1.0
92,딱하네 나오는 이유 휴가 이유 윤석열 장마 강남 침수 윤석열 지지도,NaN
93,애초 멀쩡한 청와대 버리고 무리하게 대통령실 문제 호우 경보 불구 퇴근 문제 생각 절대,-1.0
94,화요일 기준 대가 넘는 차량 침수 됐고 손해 합니다 오토 차량 기어 낮추는 수동 기어 모드 참조 하세요 타래 인용 둡니다,0.0
95,어르신 트윗 활용 어렵습니다 지하철 침수 중단 구간 문자 경보 알림 보내주십시요 진짜 어제 돌아오는길 어르신 무작정 여기저기 물어봐가면서 버스 타시는데 안타까웠습니다,NaN
96,진짜 맞는거 침수 피해 났어 서울 잠겼어 대통령 새끼 재택근무 하는데 나머지 노동자 밤새 지하철 치우고 출근 심지어 시발 지하철 다시 운행 가능하게 했어,-1.0
97,이지영 중학생 반지하 침수 돼서 요점 노트 젖어서 죽으려고 옥상 갔다는 생각남,NaN
98,버스 침수 저상버스 하지 마세요 그래도 보장 돼있는 장애인 동권 공격 하지 마세요 오세훈 서울시장 재난 차관 임명 배수 시설 설치 배수 예산 삭감 쌍욕,-1.0
99,아크 비스타 폭우 피해 대처 했단다 그래 그럼 통화 기록 상황 기록 있겠네 그치 대통령 상황 대처 기록 전부 남겨야 하는 맞지 기록 보자 누구 무슨 내용 통화 했고,-1.0
100,폭우 오늘 유독 도로 죽은 동물 보이네요 죽은 동물 발견 하셨을 다산 콜센터 전화 해주세요 지역번호 입니다 침수 피해 제네시스 지하철역 조기 퇴근 기록 폭우 고양이 천둥 번개 남부 지방,-1.0
101,지형 높아서 침수 되고 오고 여름 덥고 하아,NaN
102,기호일보 만평 침수 사태,NaN
103,여기는 그냥 멸망 남부 지방 폭염 주의보 내린 곳도 있다던데 조그만 나라 무슨 날씨 모양,NaN
104,아까 호선 침수 알림 보고 침울하게 나오는데 창빈 줏대 있게 걸어가 하는 나를 봐서 걸어옴,NaN
105,건물 주가 침수 지하 주차장 고급 차량 잠겨 거액 보상금 지불 이후 설치 했다는 인터넷 풍문 거짓 처음 건물 지었을 설치 한다,0.0
106,아까부터 계속 틀어눟 있는데 정부 실종 되었다 예전 화면 하단 자막 계속 특보 정부 발표 집계 같은 정보 떴었지 지금 아무 나옴 했던 하면서 반복 하고 있다,NaN
107,장마 가방 블투 이어폰 넣을 지퍼 이케아 지퍼 항상 넣어 두는 옛날 엄청난 아이폰 지퍼 넣고 문자 하는거 보고 배움 가끔 지퍼 얇은 손수건 넣더라 습기,NaN
108,폭염 보구 진짜 중간 없네,NaN
109,있는 폭염 조심해,NaN
110,폭염 다습한 날씨 어가 바질 전멸 고무나무 아보카도 생생하네,NaN
111,폭염 괜찮으신 가요,NaN
112,여긴 폭염 경보 조심하세요,NaN
113,남부 지방 가뭄 폭염 시달리는데 퇴근길 피해 없도록 안전 안전 조심 즐퇴 하세요,0.3333333333333333
114,밤새 안녕하셔요 있는 아랫 지방 폭염 때문 걱정 피해 안전한 하루 되시길 바랍니다 오늘 힘나는 되셔요,-0.3333333333333333
115,같은 나라 남부 지방 방울 내리고 열흘 열대야 폭염 지속,NaN
116,더쇼 폭염 여름 휴가 필요 없어요 캡틴 강쥐 용맹함과 비주 카리스마 감격 흐르는 눈물 왼쪽 케리 안더 오른쪽 더쇼밤 축제 열리거든요 무더운 여름 나갈 필요 물놀이 하게 해주,0.0
117,우린 폭염 중간 없냐,NaN
118,우리 진정 걱정 자주 써주고 자주 읽어줘 야하는 기사 이런 기사 유럽 폭염 연일 뉴스 나오지만 생사 오가는 뉴스 자주 써주는가,-1.0
119,오늘 날씨 알려 드리겠습니다 폭우 폭염 폭우 폭염 폭우 폭염 폭우 폭염 이상 입니다,NaN
120,여름 되면 쿠팡 물류 센터 결근 조퇴 속출 합니다 많은 계약 개조 이상 결근 조퇴 정도 노동자 사람인 지라 폭염 견딜 없으니 그날 일당 비롯 주휴수당 연차 날아가 수입,NaN
121,호우 주의보 피해 폭염 경보,-1.0
122,저희 폭염 구간 습하고 더워요,NaN
123,수능 이제 실감 납니다 폭염 열공,1.0
124,웃고 다정하게 웃고 박씨 보이는구나 폭염 엇다,NaN
125,오늘 날씨 알려 드리겠습니다 폭우 폭염 폭우 폭염 폭우 폭염 폭우 폭염 이상 입니다,NaN
126,우리 더워서 넘어가 슈펄 과연 폭염 보가 맞댜,NaN
127,지방 폭염 더워,NaN
128,부산 폭염 한창 랍니 심죠 귀가 새오,NaN
129,오늘 하루 고생 하셨습니다 중부 어제 오늘이 심하게 온다고 합니다 그러니 퇴근길 조심하시고요 출근 야근 하시는 조심하시길 바랍니다 남부 열대야 이니 폭염 조심하시고요 저녁,-1.0
130,지구 멸망할 이번 서울 물난리 단순한 사건 아니다 지구 멸망 전조 하나 서울 기상이변 있는게 아니다 시베리아 여름 온도 섭씨 넘어가고 일본,NaN
131,시뻘겋게 끓었다 나사 공개 붉은 지구 충격 영상 도를 웃도는 극심한 폭염 노멀 관측 스페인 정부 직장인 넥타이 착용 자제 권고 영국 정부 정원 호스 사용,-1.0
132,핫함 경보 폭염 넘어서는 뜨거운 열기 승리 하나 되는 피치스 뷰잉 파티 현장 피치스 피치스,1.0
133,강남역 침수 되고 정전 되고 도서관 젖고 뒤집히고 맨홀 뚜껑 뽑히고 바퀴벌레 득실 거리 청와대 종합 활실 없고 산사태 나고 지방 폭염 정부 대책 없다 진짜 정부 상태 실감,-1.0
134,대한민국 갈라졌 노씨 여기는 폭염 매미 울어요,NaN
135,가뭄 이었다가 폭우 내렸다가 폭염 이었다가 날씨 그지같음,NaN
136,아니지만 차서 그렸어용 진짜 오던데 조심하시구 폭염 조심하시구 안전하셨음 좋겠어여 그림 그림러 그림 그림 벚꽃 상시 커미션,NaN
137,여러분 대구 날씨 어떤 가요 여기 하늘 뚫린 같은데 지방 폭염 주의보 믿기지가 않어요,NaN
138,서울 아마존 개장 여기는 폭염 랜드,NaN
139,폭우 폭염 모두 조심하시길 바라요,NaN
140,아니지만 차서 그렸어용 진짜 오던데 조심하시구 폭염 조심하시구 안전하셨음 좋겠어여 그림 그림러 그림 그림 벚꽃 상시 커미션,NaN
141,경기도 의회 드라마 인스타그램 지금 의회 크랭크 한여름 폭염 시작 했던 촬영 갑작스러운 폭우 종료 했습니다 서지수 러블 리즈,-1.0
142,코로나 걸렸던 사람 줄줄이 걸리고있어 폭염 조심하시구 코로나 조심하시구 손소독 마스크 하세여 양산 좋더라 외출 하실 양산 추천 드립니다,NaN
143,진짜 미치겠다 우리 지역 오면 비상 우리 지역 폭염 주의보,-1.0
144,남부 지방 아예 내림 햇빛 바람 있음 폭염 농작물 말라 죽음 곤충 더워 죽음,-1.0
145,오전 폭염 경보 알림 왔던 오늘 같은 미친 날씨 기어 노동자 아스팔트 위로 쫓아낸 파리 바게뜨 평생 불매,-1.0
146,여태 수업 준비 한다고 앉아서 이제 서야 부랴부랴 카톡 보고 놀래서 이돈 재림 나발 이상 피해 없었으면 좋겠다 우리 터친 피해 없으시길 부산 며칠 폭염 경보 발효,-1.0
147,특보 발효 현황 발효 시각 이후 호우경보 호우 주의보 폭염 경보 폭염 주의보,NaN
148,비는 여기 와야지 서울 가는데에 여긴 폭염 주의보 뜨고,NaN
149,특보 발효 현황 발효 시각 이후 호우경보 호우 주의보 폭염 경보 폭염 주의보,NaN
150,농작물 푸석푸석하니까 기운 없어 줘도 따서 먹어도 쓴거만 쓰더라구요 장난 니야 이번 폭염,NaN
151,집중호우 때문 사망자 오늘 아침 기준 나왔다는데 수도권 지역 이면 조심하세요 제발 가족 서로 몸조심 하자 폭염 나가있지말고 폭염 집중호우 무서운 자연재해 서로 몸조심 합니다,-1.0
152,잇죠 폭염 폭우 장난 아니네요 우리 안전하게 살아있어요,NaN
153,하미 존나 기여 우어 휴닝 카이 미세먼지 외치는 와중 최수빈 귀마개 촉감,NaN
154,영화 기생충 송강호 폭우 침수 다음 조여정 어제 와서 미세먼지 없구 하고 송강호 하는 장면 있거든요 그거 충격 받았는데 오늘 선선 해서 좋은데,-1.0
155,데님 운동 금지 중구 미세먼지 좋음 해외 종로 행복한 그룹 횡성 소개팅 거울 블루스,1.0
156,포카 왔음 차도 미세먼지 낀게 아쉽지만 얼굴 쵝오,NaN
157,무슨 이제 미세먼지 저만 먹읗게 노래 불러주세요,NaN
158,포카 진짜 미세먼지 필터 없애줘 공지 포카 색감 기대했더니 실물 조명 진해 보이는거구 얼굴 했다,NaN
159,추억 건가 세상 장난꾸러기 황금돼지 다이어트 동초 광고 제작 미세먼지 좋음 엄마 생각 간만 업뎃 볼수록 빠져드는 미쳤다,1.0
160,도초도 강릉 여행 아이 반찬 미세먼지 차단 카페 탐험대 케이시,NaN
161,국가 재난 상황 관저 숨어있던 대통령 폭우 내림에도 정시 퇴근 했다 즈음 헐레벌떡 돌아왔던 서울시장 자신 대응 미숙 아니었다면 살릴수도 있었을 반지하 가족 사망 사고 현장 저런 사람 사네,-1.0
162,대선 언론 국민 대체 무슨 조금 달아야 만이 만이 하며 일일 최대 폭우 강조 하는데 돌아봐도 이번 능가 하는 최대 폭우 매우 많다고,NaN
163,산사태 위기 경보 경계 상향 이례 폭우 발생 서울 인천 경기 지역 산사태 위기 보가 주의 경계 상향 되었습니다 산사태 고립 되었을 경우 구조 요청 산림청 산림 항공 구조대,-1.0
164,물난리 났는데 고립 되서 나오질 와중 대책 폭우 헬기 부르려다가 실패한 대통령 솔직히 어젯밤 의지 있었어도 출근 가능했었음 이런 날씨 일전 예고 됐었는데 칼퇴 해가지고 귀찮아서 나온거,NaN
165,어제 폭우 재난 피해 입으신 가구 근처 건강 정지원 센터 긴급 위기 가족 지원 상담 받아 보세요 센터 별로 보유 민간 단체 자원 받거나 가구 사례 관리 재난 지역 선포 정부 지원 아이돌,-1.0
166,폭우 로켓 배송 근황 쿠팡 진짜 빼고 사는 건가,NaN
167,지역구 포함 수도권 온통 물난리 났는데 씬나 잼있다 트윗 올렸다가 삭제 올린 트윗 오늘 폭우 길위 레일 거의 굶었 아잔 거리 폭우 소재 말장난 치는 트윗,NaN
168,낭만 넘치는 강남역 차주 폭우 낭만 워터파크,1.0
169,강남역 아저씨 배수관 쌓여있는 쓰레기 건져내니 물이 빠졌다는데 대단하신것과 별개 폭우 예보 진작 했는데 전혀 대비 됐다는게 화나고,-1.0
170,아빠 공무원 어제 도착 비상 걸려서 다시 출근 그리고 시간 내내 소식 없음 매년 했어 폭우 폭설 기타 등등 무슨 있을,NaN
171,폭우 고립 되어 봐야 아무 하러 오지 대통령 죽이겠다고 트윗 하면 시간 경찰 잡으러,NaN
172,폭우 등등 이야기 나오는데 이전 사뭇 다르다는 이해해 온난화 이전 아웃 라이어 상황 일상 만들 분명하고 이전 본적 없는 상황 가져오,1.0
173,어제 오늘 수도권 오던데 트친 괜찮으신 가요 부산 더워 디질것 같은데 폭우 온다니 건강하고 열공 합시다,1.0
174,플로리 폭우 조심하구 감기 조심하기 더쇼 만나,-1.0
175,서울 어마어마한 폭우 예보 한가롭게 런던아이 능가 하는 대관람차 세우겠다는 발표 서울시장 있다구요,NaN
176,박원순 시장 여름 내내 장마 호우 태풍 대비 했었고 피해 거의 없었죠 오세훈 시장 하면 서울 바로 잠깁니다 서울 잠기 있는데 오세훈 하고 있나요 행안부 장관 있나요,-1.0
177,서방 비록 여기는 폭염 주의보,NaN
178,오늘 닫아야겠 어차피 온라인 있구 폭우 확실히 사람 없다,-1.0
179,강남역 인근 어떤 하수 뚜껑 열고 거기 쌓여있던 쓰레기 내자 허벅지 차올랐던 물이 빠졌다고 하는데 영웅 활약 조명 하기에 앞서 일주일 수도권 폭우 예보 됐음에도 기본,1.0
180,안녕하십니까 폭우 침수 피해 인하여 본래 강남 모나코 스페이스 개최 예정 이었던 행사 스페이스 쉐어 삼성 센터 변경 결정 되었습니다 행사,-1.0
181,폭우 어떻게 시장 퇴근 하냐 서울 폭우 왔습니다 호우경보 발령 이었습니다 호우경보 그냥 짱짱 선언 아니잖아요,NaN
182,재난 결코 공평하지 않습니다 공평하지 않은 재난 우리 최소한 안전 되어주는 국가 입니다 그러나 국가 기능 상실 포기 했을 우리 서로 있을 없습니다 폭우,-0.5
183,심각한데 쓰나미 아닌가 정도,NaN
184,호우 일어났을 자연 재난 행동 요령 구급 약품 손전등 식수 비상식량 라디오 핸드폰 충전기 휴대 버너 담요 비상 용품 점검 한번 하기에요 이미지 호우 침수 관련,-1.0
185,얼마나 일이 정작 내려 야하는 농촌 지역 오고 정도 가뭄 정작 내리면 취약 도시 홍수 일어난다는게 괴담 누가 알티 해서 많은 사람,NaN
186,근처 싱크홀 발생 지하방 갑자기 물이 차오르기 시작 했고 옆집 살던 주민 필사 창문 뜯어서 구출 하려 했지만 물이 차서 수가 없었다고,NaN
187,동공 지진 났어,NaN
